¸ËËþÇø¼ä	¾àÀëÐ¡ºÅ¸ËËþ¾àÀë	x	y	z	Î£ÏÕµãÀàÐÍ	Ë®Æ½¾àÀë	´¹Ö±¾àÀë	¾»¿Õ¾àÀë	
13-14	113.88	452560.06	2873240.25	1769.92	Ê÷Ä¾	4.38	1.66	4.68	
13-14	113.63	452559.13	2873239.75	1767.78	Ê÷Ä¾	3.34	3.80	5.06	
13-14	113.61	452559.38	2873240.00	1768.28	Ê÷Ä¾	3.69	3.30	4.95	
13-14	113.44	452559.69	2873240.50	1768.36	Ê÷Ä¾	4.26	3.22	5.34	
13-14	113.65	452559.72	2873240.25	1770.12	Ê÷Ä¾	4.12	1.46	4.37	
13-14	113.30	452558.91	2873240.00	1767.75	Ê÷Ä¾	3.36	3.83	5.10	
13-14	113.38	452559.31	2873240.25	1767.66	Ê÷Ä¾	3.82	3.92	5.48	
13-14	113.36	452559.56	2873240.50	1767.89	Ê÷Ä¾	4.18	3.69	5.57	
13-14	113.15	452558.41	2873239.75	1767.68	Ê÷Ä¾	2.85	3.90	4.83	
13-14	113.05	452559.09	2873240.50	1767.87	Ê÷Ä¾	3.87	3.71	5.36	
13-14	113.07	452559.41	2873240.75	1767.93	Ê÷Ä¾	4.26	3.65	5.61	
13-14	113.07	452559.13	2873240.50	1768.01	Ê÷Ä¾	3.89	3.57	5.28	
13-14	114.88	452558.75	2873237.75	1765.56	µØÃæ	1.65	5.82	6.05	
13-14	114.81	452558.38	2873237.50	1765.42	µØÃæ	1.20	5.96	6.08	
13-14	114.86	452559.00	2873238.00	1766.18	µØÃæ	1.99	5.24	5.60	
13-14	114.56	452558.28	2873237.75	1765.27	µØÃæ	1.31	6.11	6.25	
13-14	114.56	452558.56	2873238.00	1765.61	µØÃæ	1.68	5.77	6.01	
13-14	114.46	452558.69	2873238.25	1765.94	µØÃæ	1.95	5.44	5.78	
13-14	114.29	452557.88	2873237.75	1765.28	µØÃæ	1.09	6.10	6.20	
13-14	114.34	452558.22	2873238.00	1765.41	µØÃæ	1.47	5.97	6.15	
13-14	114.27	452558.41	2873238.25	1765.69	µØÃæ	1.79	5.69	5.96	
13-14	114.11	452558.16	2873238.25	1765.56	µØÃæ	1.66	5.82	6.05	
13-14	114.09	452558.41	2873238.50	1765.95	µØÃæ	1.88	5.47	5.78	
13-14	114.98	452560.03	2873238.75	1767.92	Ê÷Ä¾	3.28	3.46	4.76	
13-14	114.88	452559.88	2873238.75	1767.51	Ê÷Ä¾	3.15	3.87	4.99	
13-14	114.79	452560.03	2873239.00	1768.05	Ê÷Ä¾	3.43	3.33	4.78	
13-14	114.88	452559.88	2873238.75	1769.37	Ê÷Ä¾	3.15	2.01	3.74	
13-14	114.88	452560.16	2873239.00	1769.67	Ê÷Ä¾	3.53	1.71	3.92	
13-14	114.75	452560.81	2873239.75	1768.79	Ê÷Ä¾	4.48	2.63	5.19	
13-14	114.79	452560.59	2873239.50	1770.03	Ê÷Ä¾	4.19	1.35	4.40	
13-14	114.67	452559.84	2873239.00	1767.70	Ê÷Ä¾	3.29	3.68	4.94	
13-14	114.65	452560.09	2873239.25	1767.91	Ê÷Ä¾	3.65	3.47	5.03	
13-14	114.71	452560.19	2873239.25	1769.11	Ê÷Ä¾	3.72	2.27	4.35	
13-14	114.67	452560.69	2873239.75	1768.56	Ê÷Ä¾	4.42	2.82	5.25	
13-14	114.75	452560.53	2873239.50	1770.21	Ê÷Ä¾	4.14	1.17	4.30	
13-14	114.46	452559.53	2873239.00	1767.70	Ê÷Ä¾	3.07	3.68	4.79	
13-14	114.44	452559.78	2873239.25	1767.95	Ê÷Ä¾	3.43	3.43	4.85	
13-14	114.29	452560.13	2873239.75	1767.98	Ê÷Ä¾	4.03	3.40	5.27	
13-14	114.32	452560.44	2873240.00	1768.07	Ê÷Ä¾	4.42	3.31	5.52	
13-14	114.42	452560.03	2873239.50	1769.63	Ê÷Ä¾	3.78	1.75	4.17	
13-14	114.48	452560.13	2873239.50	1770.24	Ê÷Ä¾	3.85	1.14	4.01	
13-14	114.36	452560.50	2873240.00	1770.18	Ê÷Ä¾	4.47	1.20	4.62	
13-14	114.15	452559.63	2873239.50	1767.70	Ê÷Ä¾	3.51	3.68	5.09	
13-14	114.29	452559.84	2873239.50	1768.01	Ê÷Ä¾	3.65	3.37	4.97	
13-14	114.09	452560.09	2873240.00	1768.22	Ê÷Ä¾	4.20	3.16	5.25	
13-14	114.17	452559.94	2873239.75	1769.30	Ê÷Ä¾	3.91	2.08	4.42	
13-14	114.25	452560.06	2873239.75	1769.86	Ê÷Ä¾	3.99	1.52	4.27	
13-14	114.00	452559.41	2873239.50	1767.46	Ê÷Ä¾	3.38	3.92	5.18	
13-14	114.07	452559.78	2873239.75	1769.38	Ê÷Ä¾	3.81	2.00	4.30	
13-14	114.98	452560.03	2873238.75	1767.92	Ê÷Ä¾	3.28	3.46	4.76	
13-14	114.88	452559.88	2873238.75	1767.51	Ê÷Ä¾	3.15	3.87	4.99	
13-14	114.79	452560.03	2873239.00	1768.05	Ê÷Ä¾	3.43	3.33	4.78	
13-14	114.88	452559.88	2873238.75	1769.37	Ê÷Ä¾	3.15	2.01	3.74	
13-14	114.88	452560.16	2873239.00	1769.67	Ê÷Ä¾	3.53	1.71	3.92	
13-14	114.75	452560.81	2873239.75	1768.79	Ê÷Ä¾	4.48	2.63	5.19	
13-14	114.79	452560.59	2873239.50	1770.03	Ê÷Ä¾	4.19	1.35	4.40	
13-14	114.67	452559.84	2873239.00	1767.70	Ê÷Ä¾	3.29	3.68	4.94	
13-14	114.65	452560.09	2873239.25	1767.91	Ê÷Ä¾	3.65	3.47	5.03	
13-14	114.71	452560.19	2873239.25	1769.11	Ê÷Ä¾	3.72	2.27	4.35	
13-14	114.67	452560.69	2873239.75	1768.56	Ê÷Ä¾	4.42	2.82	5.25	
13-14	114.75	452560.53	2873239.50	1770.21	Ê÷Ä¾	4.14	1.17	4.30	
13-14	114.46	452559.53	2873239.00	1767.70	Ê÷Ä¾	3.07	3.68	4.79	
13-14	114.44	452559.78	2873239.25	1767.95	Ê÷Ä¾	3.43	3.43	4.85	
13-14	114.29	452560.13	2873239.75	1767.98	Ê÷Ä¾	4.03	3.40	5.27	
13-14	114.32	452560.44	2873240.00	1768.07	Ê÷Ä¾	4.42	3.31	5.52	
13-14	114.42	452560.03	2873239.50	1769.63	Ê÷Ä¾	3.78	1.75	4.17	
13-14	114.48	452560.13	2873239.50	1770.24	Ê÷Ä¾	3.85	1.14	4.01	
